origin,destination,total_value
China,Mexico,12250000000
Canada,Mexico,8450000000
South Korea,Vietnam,6877007000
France,Belgium,5538069000
France,United Kingdom,5427000000
China,South Korea,4790000000
USA,Mexico,4710000000
South Korea,Japan,4594000000
Germany,Italy,4541000000
China,Germany,4090000000
China,USA,3797000000
Russia,Belorussia,3529000000
France,USA,3402000000
Japan,Brazil,3368155000
Netherlands,Belgium,3238142000
USA,Argentina,3159000000
Germany,France,2902214000
China,Japan,2654000000
Japan,China,2550000000
USA,Canada,2412000000
USA,Brazil,2384000000
USA,Belgium,2371000000
Russia,China,2310000000
Germany,China,2167875000
Russia,Germany,2042000000
Japan,USA,1965040000
Russia,Netherlands,1959000000
France,Germany,1940035000
Japan,Mexico,1911000000
China,Spain,1862000000
South Korea,China,1704000000
Belgium,United Kingdom,1632000000
USA,Singapore,1599000000
France,Spain,1455058000
Russia,Turkey,1446000000
Italy,Germany,1415088000
United Kingdom,Spain,1378025000
China,Argentina,1236000000
South Korea,USA,1228000000
Japan,South Korea,1226000000
Spain,Russia,1085000000
India,United Arab Emirates,1037000000
USA,Netherlands,1032187000
China,Rusia,989046000
Germany,South Korea,902668000
Italy,Spain,871108000
France,Italy,852000000
United Kingdom,Belgium,815169000
Germany,USA,795446000
China,Brazil,785000000
India,China,761000000
Netherlands,France,739075000
Italy,United Kingdom,706038000
Italy,Croatia,699000000
Canada,China,693000000
Brazil,Mexico,689000000
USA,China,688000000
Switzerland,Russia,650000000
Italy,Switzerland,643094000
Canada,USA,640000000
Switzerland,Germany,628000000
Spain,Belgium,613000000
Mexico,USA,585342000
United Kingdom,Ireland,584123000
Spain,Germany,583000000
Italy,Ireland,563000000
Russia,France,542000000
Canada,Japan,532000000
China,Belgium,524000000
Switzerland,France,510000000
Russia,India,498000000
Russia,Japan,494000000
Australia,Singapore,493000000
India,USA,474000000
Italy,France,469060000
Brazil,Argentina,465000000
Brazil,Netherlands,462000000
Spain,Brazil,442000000
Russia,South Korea,403000000
Mexico,Japan,392000000
Brazil,China,386000000
Japan,Spain,368000000
Switzerland,Italy,366000000
Spain,Italy,350000000
Spain,France,345000000
Australia,Philippines,344000000
Belgium,France,343000000
Japan,Singapore,340000000
Australia,Thailand,337000000
Belgium,Netherlands,311000000
Belgium,Germany,302000000
Mexico,Canada,276949000
Brazil,USA,272000000
Australia,United Kingdom,220000000
South Korea,Mexico,218035000
Canada,Brazil,206000000
Japan,Switzerland,197000000
Australia,Brazil,172000000
Canada,United Kingdom,163000000
Mexico,Brazil,147433000
Netherlands,Germany,143029000
India,Germany,137000000
India,Japan,111000000
India,Russia,106000000
Australia,Mexico,84000000
Germany,Canada,25178000
Japan,Germany,23111000
Mexico,New Zealand,9382000
Mexico,Singapore,5082000
Germany,Brazil,3265000
Germany,Mexico,2952000
Germany,United Kingdom,2635000
Mexico,Austria,1894000
Mexico,Peru,1673000
Japan,Canada,511000
Austria,Slovakia,258000
Austria,Italy,252000
Austria,Switzerland,252000
Singapore,USA,251000
Singapore,Malaysia,218000
Austria,Germany,188000
Japan,Russia,159000
Singapore,Japan,152000
USA,United Arab Emirates,119000
Austria,USA,112000
United Kingdom,USA,111000
Italy,USA,107000
United Kingdom,France,107000
South Korea,Brazil,104000
Austria,France,93000
United Kingdom,Italy,77000
France,Canada,75000
Italy,Canada,66000
Singapore,China,63000
Netherlands,Brazil,59000
France,China,54000
Italy,Singapore,45000
Italy,Russia,40000
Italy,Netherlands,38000
Netherlands,Argentina,36000
Netherlands,Mexico,28000
France,Russia,20000
France,Netherlands,14000
France,Austria,7000
