origin,destination,total_value
Singapore,Thailand,4017000000
Japan,Mexico,3918000000
China,Thailand,3831000000
Malaysia,Thailand,3482000000
China,United Arab Emirates,3357000000
China,Japan,3237000000
Mexico,USA,2365000000
Japan,United Arab Emirates,2238000000
Spain,Germany,2044000000
Germany,Mexico,1804000000
South Korea,United Arab Emirates,1713000000
USA,Germany,1620000000
USA,Thailand,1568000000
Germany,China,1328000000
South Korea,Mexico,1291000000
China,Singapore,1267000000
Mexico,Japan,1143000000
USA,India,1133000000
France,Poland,1030000000
Spain,Mexico,957000000
Australia,Japan,920000000
Russia,India,851000000
Japan,Thailand,847000000
South Korea,Germany,738000000
Italy,Mexico,680000000
Mexico,China,590000000
Italy,Poland,588000000
Germany,Poland,570000000
Canada,USA,569000000
Germany,India,548000000
Vietnam,United Arab Emirates,540000000
Japan,USA,527000000
Brazil,China,413000000
USA,Japan,381000000
United Arab Emirates,India,371000000
USA,Canada,348000000
Mexico,Germany,345000000
China,USA,297000000
France,Germany,286000000
Japan,Canada,278000000
United Kingdom,Canada,248000000
China,Mexico,244000000
USA,China,241000000
Mexico,Canada,178000000
Japan,Singapore,171000000
South Korea,Japan,147000000
Japan,India,115000000
Malaysia,Singapore,78000000
Brazil,Germany,76000000
